,Unnamed: 0,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
311,649,article,1227434,Russel  Bruhn and Steven F. Jennings,,,,A Multidisciplinary Bioinformatics Minor,348--352,,5.0,"bioinformatics, computational science, curriculum issues",10.1145/1227310.1227434,,,,,,,2007.0,,Proceedings of the 38th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '07,,1-59593-361-1,"Covington, Kentucky, USA",ACM,"New York, NY, USA",computer science usability education
312,650,article,1227434,Russel  Bruhn and Steven F. Jennings,,,,A Multidisciplinary Bioinformatics Minor,348--352,,5.0,"bioinformatics, computational science, curriculum issues",10.1145/1227504.1227434,SIGCSE Bull.,March 2007,39,1,,March,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
316,658,article,1151875,Anders  Berglund and Mats  Daniels and Arnold  Pears,,,,Qualitative Research Projects in Computing Education Research: An Overview,25--33,,9.0,"computing education, computing education research",,,,,,,,2006.0,,Proceedings of the 8th Australasian Conference on Computing Education - Volume 52,ACE '06,,1-920682-34-1,"Hobart, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computer science usability education
320,662,article,1879216,Emerson  Murphy-Hill and Andrew P. Black,,,,An Interactive Ambient Visualization for Code Smells,5--14,,10.0,"code smells, refactoring, software, usability",10.1145/1879211.1879216,,,,,,,2010.0,,Proceedings of the 5th International Symposium on Software Visualization,SOFTVIS '10,,978-1-4503-0028-5,"Salt Lake City, Utah, USA",ACM,"New York, NY, USA",computer science usability education
322,668,article,355477,Jenna  Burrell and Paul  Treadwell and Geri K. Gay,,,,Designing for Context: Usability in a Ubiquitous Environment,80--84,,5.0,"context-aware computing, mobile computing, social navigation",10.1145/355460.355477,,,,,,,2000.0,,Proceedings on the 2000 Conference on Universal Usability,CUU '00,,1-58113-314-6,"Arlington, Virginia, USA",ACM,"New York, NY, USA",computer science usability education
334,687,article,2670788,Leigh Ann DeLyser,,,,Software Engineering Students in the City,37--42,,6.0,"K12 computer science, attitudes, growth mindset, software engineering education",10.1145/2670757.2670788,,,,,,,2014.0,,Proceedings of the 9th Workshop in Primary and Secondary Computing Education,WiPSCE '14,,978-1-4503-3250-7,"Berlin, Germany",ACM,"New York, NY, USA",computer science usability education
337,690,article,1121469,Orit  Hazzan and Yael  Dubinsky and Larisa  Eidelman and Victoria  Sakhnini and Mariana  Teif,,,,Qualitative Research in Computer Science Education,408--412,,5.0,"computer science education research, qualitative research, qualitative research in computer science education, research methods",10.1145/1124706.1121469,SIGCSE Bull.,March 2006,38,1,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
338,691,article,1121469,Orit  Hazzan and Yael  Dubinsky and Larisa  Eidelman and Victoria  Sakhnini and Mariana  Teif,,,,Qualitative Research in Computer Science Education,408--412,,5.0,"computer science education research, qualitative research, qualitative research in computer science education, research methods",10.1145/1121341.1121469,,,,,,,2006.0,,Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '06,,1-59593-259-3,"Houston, Texas, USA",ACM,"New York, NY, USA",computer science usability education
339,692,article,1067502,Jo&#227;o M. P. Cardoso,,,,New Challenges in Computer Science Education,203--207,,5.0,"computer science education, computing, curriculum, embedded systems, reconfigurable hardware",10.1145/1151954.1067502,SIGCSE Bull.,September 2005,37,3,,June,2005.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
340,693,article,1067502,Jo&#227;o M. P. Cardoso,,,,New Challenges in Computer Science Education,203--207,,5.0,"computer science education, computing, curriculum, embedded systems, reconfigurable hardware",10.1145/1067445.1067502,,,,,,,2005.0,,Proceedings of the 10th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '05,,1-59593-024-8,"Caparica, Portugal",ACM,"New York, NY, USA",computer science usability education
341,694,article,1352245,Mark W. Bailey and Clark L. Coleman and Jack W. Davidson,,,,Defense Against the Dark Arts,315--319,,5.0,"anti-virus software, compilers, computer science education, computer viruses",10.1145/1352322.1352245,SIGCSE Bull.,March 2008,40,1,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
342,695,article,1352245,Mark W. Bailey and Clark L. Coleman and Jack W. Davidson,,,,Defense Against the Dark Arts,315--319,,5.0,"anti-virus software, compilers, computer science education, computer viruses",10.1145/1352135.1352245,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computer science usability education
344,703,article,1227450,James P. Cohoon,,,,An Introductory Course Format for Promoting Diversity and Retention,395--399,,5.0,"diversity, introductory computer science, programming",10.1145/1227504.1227450,SIGCSE Bull.,March 2007,39,1,,March,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
345,704,article,1227450,James P. Cohoon,,,,An Introductory Course Format for Promoting Diversity and Retention,395--399,,5.0,"diversity, introductory computer science, programming",10.1145/1227310.1227450,,,,,,,2007.0,,Proceedings of the 38th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '07,,1-59593-361-1,"Covington, Kentucky, USA",ACM,"New York, NY, USA",computer science usability education
346,705,article,947162,Evelyn P. Rozanski and Anne R. Haake,,,,The Many Facets of HCI,180--185,,6.0,"design methods, human-computer interaction, ubiquitous computing, usability, usability engineering",10.1145/947121.947162,,,,,,,2003.0,,Proceedings of the 4th Conference on Information Technology Curriculum,CITC4 '03,,1-58113-770-2,"Lafayette, Indiana, USA",ACM,"New York, NY, USA",computer science usability education
347,706,article,3134082,Alena  Naiakshina and Anastasia  Danilova and Christian  Tiefenau and Marco  Herzog and Sergej  Dechand and Matthew  Smith,,,,Why Do Developers Get Password Storage Wrong?: A Qualitative Usability Study,311--328,,18.0,"developer, methodology, password storage, priming, studies",10.1145/3133956.3134082,,,,,,,2017.0,,Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security,CCS '17,,978-1-4503-4946-8,"Dallas, Texas, USA",ACM,"New York, NY, USA",computer science usability education
348,707,article,1047451,Elise H. Turner and Roy M. Turner,,,,Teaching Entering Students to Think Like Computer Scientists,307--311,,5.0,"gender issues, introductory computer science",10.1145/1047124.1047451,SIGCSE Bull.,2005,37,1,,February,2005.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
349,708,article,1047451,Elise H. Turner and Roy M. Turner,,,,Teaching Entering Students to Think Like Computer Scientists,307--311,,5.0,"gender issues, introductory computer science",10.1145/1047344.1047451,,,,,,,2005.0,,Proceedings of the 36th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '05,,1-58113-997-7,"St. Louis, Missouri, USA",ACM,"New York, NY, USA",computer science usability education
351,710,article,1109554,Stuart  MacFarlane and Gavin  Sim and Matthew  Horton,,,,Assessing Usability and Fun in Educational Software,103--109,,7.0,"children, computer-assisted learning, educational software, evaluation, fun, usability",10.1145/1109540.1109554,,,,,,,2005.0,,Proceedings of the 2005 Conference on Interaction Design and Children,IDC '05,,1-59593-096-5,"Boulder, Colorado",ACM,"New York, NY, USA",computer science usability education
355,717,article,2538970,Marisa  Exter,,,,Comparing Educational Experiences and On-the-job Needs of Educational Software Designers,355--360,,6.0,"computer science education, computing education, curriculum, informal education, non-formal education, pedagogy",10.1145/2538862.2538970,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computer science usability education
356,720,article,1409866,Jorge  P&#233;rez and Meg  Murray,,,,Computing for the Masses: Extending the Computer Science Curriculum with Information Technology Literacy,220--226,,7.0,"computer science education, curriculum, information literacy, information technology education",,J. Comput. Sci. Coll.,December 2008,24,2,,December,2008.0,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,computer science usability education
357,722,article,3103049,Mar&#237;a Cecilia Bastarrica and Daniel  Perovich and Ma&#237;ra Marques Samary,,,,What Can Students Get from a Software Engineering Capstone Course?,137--145,,9.0,"capstone course, computer science education, software engineering education",10.1109/ICSE-SEET.2017.15,,,,,,,2017.0,,Proceedings of the 39th International Conference on Software Engineering: Software Engineering and Education Track,ICSE-SEET '17,,978-1-5386-2671-9,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA",computer science usability education
359,726,article,1352257,Leigh Ann  Sudol,,,,Forging Connections Between Life and Class Using Reading Assignments: A Case Study,357--361,,5.0,"communication skills, computer science education, ethical/societal issues, women in computing",10.1145/1352322.1352257,SIGCSE Bull.,March 2008,40,1,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
360,727,article,1352257,Leigh Ann  Sudol,,,,Forging Connections Between Life and Class Using Reading Assignments: A Case Study,357--361,,5.0,"communication skills, computer science education, ethical/societal issues, women in computing",10.1145/1352135.1352257,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computer science usability education
362,731,article,1227387,Thomas J. Cortina,,,,An Introduction to Computer Science for Non-majors Using Principles of Computation,218--222,,5.0,"computational thinking, computer science education, curriculum, non-majors",10.1145/1227504.1227387,SIGCSE Bull.,March 2007,39,1,,March,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
363,732,article,1227387,Thomas J. Cortina,,,,An Introduction to Computer Science for Non-majors Using Principles of Computation,218--222,,5.0,"computational thinking, computer science education, curriculum, non-majors",10.1145/1227310.1227387,,,,,,,2007.0,,Proceedings of the 38th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '07,,1-59593-361-1,"Covington, Kentucky, USA",ACM,"New York, NY, USA",computer science usability education
367,740,article,1089734,Caitlin  Kelleher and Randy  Pausch,,,,Lowering the Barriers to Programming: A Taxonomy of Programming Environments and Languages for Novice Programmers,83--137,,55.0,"Human-computer interaction, computer Science education, learning, literacy, problem solving",10.1145/1089733.1089734,ACM Comput. Surv.,June 2005,37,2,,June,2005.0,0360-0300,,,,,,ACM,"New York, NY, USA",computer science usability education
370,747,article,988047,  Computer Graphics staff,,,,"Reviews, Abstracts, Films, Books, etc.",17--22,,6.0,,10.1145/988044.988047,SIGGRAPH Comput. Graph.,Summer 1975,9,2,,July,1975.0,0097-8930,,,,,,ACM,"New York, NY, USA",computer science usability education
371,749,article,1140146,Timothy A. Davis and John  Kundert-Gibbs,,,,The Role of Computer Science in Digital Production Arts,73--77,,5.0,"computer graphics, computer science education, curriculum design, special effects",10.1145/1140123.1140146,SIGCSE Bull.,September 2006,38,3,,June,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
372,750,article,1140146,Timothy A. Davis and John  Kundert-Gibbs,,,,The Role of Computer Science in Digital Production Arts,73--77,,5.0,"computer graphics, computer science education, curriculum design, special effects",10.1145/1140124.1140146,,,,,,,2006.0,,Proceedings of the 11th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITICSE '06,,1-59593-055-8,"Bologna, Italy",ACM,"New York, NY, USA",computer science usability education
373,751,article,1508950,Mary Beth  Rosson and Anastassia  Ioujanina and Timothy  Paone and Gretel  Sheasley and Hansa  Sinha and Craig  Ganoe and John M. Carroll and Jan  Mahar,,,,A Scaffolded Introduction to Dynamic Website Development for Female High School Students,226--230,,5.0,"computer science education, instructional scaffolding, learning tools, women in computing",10.1145/1539024.1508950,SIGCSE Bull.,March 2009,41,1,,March,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
374,752,article,1508950,Mary Beth  Rosson and Anastassia  Ioujanina and Timothy  Paone and Gretel  Sheasley and Hansa  Sinha and Craig  Ganoe and John M. Carroll and Jan  Mahar,,,,A Scaffolded Introduction to Dynamic Website Development for Female High School Students,226--230,,5.0,"computer science education, instructional scaffolding, learning tools, women in computing",10.1145/1508865.1508950,,,,,,,2009.0,,Proceedings of the 40th ACM Technical Symposium on Computer Science Education,SIGCSE '09,,978-1-60558-183-5,"Chattanooga, TN, USA",ACM,"New York, NY, USA",computer science usability education
381,765,article,379742,Tamara  Sumner and Melissa  Dawe,,,,Looking at Digital Library Usability from a Reuse Perspective,416--425,,10.0,"comprehension, digital libraries, educational resources, learning impact, location, modification, reuse, sharing",10.1145/379437.379742,,,,,,,2001.0,,Proceedings of the 1st ACM/IEEE-CS Joint Conference on Digital Libraries,JCDL '01,,1-58113-345-6,"Roanoke, Virginia, USA",ACM,"New York, NY, USA",computer science usability education
